[2021-03-05 18:09:14:547] :  OK:0 NG:219 Total:219
[2021-03-05 18:09:17:312] :  OK:0 NG:220 Total:220
[2021-03-05 18:09:19:960] :  OK:0 NG:221 Total:221
[2021-03-05 18:09:22:607] :  OK:0 NG:222 Total:222
[2021-03-05 18:09:25:222] :  OK:0 NG:223 Total:223
[2021-03-05 18:09:28:856] :  OK:0 NG:224 Total:224
[2021-03-05 18:09:31:460] :  OK:0 NG:225 Total:225
[2021-03-05 18:09:33:089] :  OK:0 NG:226 Total:226
[2021-03-05 18:09:35:918] :  OK:0 NG:227 Total:227
[2021-03-05 18:09:38:754] :  OK:0 NG:228 Total:228
[2021-03-05 18:09:41:592] :  OK:0 NG:229 Total:229
[2021-03-05 18:09:44:422] :  OK:0 NG:230 Total:230
[2021-03-05 18:09:47:254] :  OK:0 NG:231 Total:231
[2021-03-05 18:09:50:111] :  OK:0 NG:232 Total:232
[2021-03-05 18:09:52:732] :  OK:0 NG:233 Total:233
[2021-03-05 18:09:55:357] :  OK:0 NG:234 Total:234
[2021-03-05 18:09:57:992] :  OK:0 NG:235 Total:235
